"Reporting starts","Reporting ends","Ad name",Platform,Placement,"Device platform","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Facebook profile feed",In-app,not_delivering,1,reach,1000,30000,Daily,1,1,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Facebook Reels",In-app,not_delivering,53787,reach,1506.18179114,30000,Daily,81013,56615,53787,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00031606,17,,,1.052578,0,17,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Ads on Facebook Reels",In-app,not_delivering,3256,reach,1050.98280098,30000,Daily,3422,3256,3256,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Facebook Stories",In-app,not_delivering,1646,reach,1356.62211422,30000,Daily,2233,1671,1646,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.015188,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Feed,Desktop,not_delivering,30,reach,1600,30000,Daily,48,31,30,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.033333,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Feed,In-app,not_delivering,8414,reach,1532.68362253,30000,Daily,12896,8844,8414,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,9,,,1.051105,0,9,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Feed,"Mobile web",not_delivering,133,reach,1511.27819549,30000,Daily,201,141,133,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.06015,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"In-stream reels",In-app,not_delivering,288,reach,1375,30000,Daily,396,292,288,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.013889,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Marketplace,Desktop,not_delivering,58,reach,1482.75862069,30000,Daily,86,67,58,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.155172,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,Marketplace,In-app,not_delivering,4816,reach,1470.72259136,30000,Daily,7083,4941,4816,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.025955,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Search results",In-app,not_delivering,2,reach,500,30000,Daily,1,2,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,Feed,In-app,not_delivering,773,reach,1505.82147477,30000,Daily,1164,804,773,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.040103,0,,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,"Instagram Reels",In-app,not_delivering,9714,reach,1482.9112621,30000,Daily,14405,9955,9714,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00010294,1,,,1.02481,0,1,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,"Instagram Stories",In-app,not_delivering,187,reach,1438.5026738,30000,Daily,269,188,187,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.005348,0,,,
2026-07-01,2026-07-31,"Momen Proper",Threads,"Threads feed",In-app,not_delivering,13,reach,1076.92307692,30000,Daily,14,13,13,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",WhatsApp,Status,In-app,not_delivering,93,reach,989.24731183,30000,Daily,92,93,93,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Search results",In-app,not_delivering,,,,30000,Daily,1,1,1,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,Feed,In-app,not_delivering,2,actions:post_interaction_gross,49.5,30000,Daily,99,2,2,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,2,,,1,0,2,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,"Instagram Reels",In-app,not_delivering,2,actions:post_interaction_gross,61.5,30000,Daily,123,3,3,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.66666667,2,,,1,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",Instagram,Feed,In-app,not_delivering,8,actions:post_interaction_gross,57.875,30000,Daily,463,12,11,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.63636364,8,,,1.090909,0,8,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",Instagram,"Instagram Reels",In-app,not_delivering,,,,30000,Daily,119,4,4,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Facebook Reels",In-app,inactive,18,actions:post_interaction_gross,1478.72222222,30000,Daily,26617,4106,3872,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00464876,3081,,,1.060434,0,3081,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Facebook Reels","Mobile web",inactive,,,,30000,Daily,667,129,119,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,86,,,1.084034,0,86,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Facebook Stories",In-app,inactive,,,,30000,Daily,12,3,3,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,1,,,1,0,1,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,Feed,Desktop,inactive,,,,30000,Daily,120,19,18,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,9,,,1.055556,0,9,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,Feed,In-app,inactive,,,,30000,Daily,4825,864,864,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,511,,,1,0,511,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"In-stream reels",In-app,inactive,,,,30000,Daily,23615,1491,1370,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,1075,,,1.088321,0,1075,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,Feed,Desktop,inactive,,,,30000,Daily,228,47,43,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,25,,,1.093023,0,25,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,Feed,In-app,inactive,6,actions:post_interaction_gross,2007.33333333,30000,Daily,12044,2134,2086,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00239693,1270,,,1.023011,0,1270,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,Feed,"Mobile web",inactive,,,,30000,Daily,21,9,9,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,4,,,1,0,4,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Explore home",In-app,inactive,,,,30000,Daily,311,54,53,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,31,,,1.018868,0,31,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Reels",Desktop,inactive,,,,30000,Daily,939,209,207,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,29,,,1.009662,0,29,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Reels",In-app,inactive,130,actions:post_interaction_gross,1381.99230769,30000,Daily,179659,34100,33376,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00374521,17472,,,1.021692,0,17472,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Reels","Mobile web",inactive,,,,30000,Daily,69,22,22,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,4,,,1,0,4,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram search results",In-app,inactive,,,,30000,Daily,4,2,2,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Stories",Desktop,inactive,,,,30000,Daily,14,8,8,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,1,,,1,0,1,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Stories",In-app,inactive,,,,30000,Daily,1889,51,51,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,41,,,1,0,41,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Stories","Mobile web",inactive,,,,30000,Daily,3,2,2,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Uncategorized,Uncategorized,Uncategorized,inactive,,,,30000,Daily,0,0,0,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",,73,,,0,0,73,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Reels",In-app,not_delivering,1078,reach,1427.64378479,30000,Daily,1539,1085,1078,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.006494,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Ads on Facebook Reels",In-app,not_delivering,860,reach,1240.69767442,30000,Daily,1067,862,860,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.002326,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Stories",In-app,not_delivering,23,reach,1173.91304348,30000,Daily,27,23,23,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Feed,Desktop,not_delivering,6,reach,1666.66666667,30000,Daily,10,7,6,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.166667,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Feed,In-app,not_delivering,1184,reach,1367.39864865,30000,Daily,1619,1212,1184,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00084459,2,,,1.023649,0,2,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Feed,"Mobile web",not_delivering,13,reach,1461.53846154,30000,Daily,19,13,13,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"In-stream reels",In-app,not_delivering,67,reach,1462.68656716,30000,Daily,98,67,67,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,Desktop,not_delivering,1,reach,2000,30000,Daily,2,1,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,In-app,not_delivering,49,reach,1489.79591837,30000,Daily,73,51,49,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.040816,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,Feed,In-app,not_delivering,130,reach,1446.15384615,30000,Daily,188,130,130,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Instagram Reels",In-app,not_delivering,639,reach,1438.18466354,30000,Daily,919,639,639,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Instagram Stories",In-app,not_delivering,43,reach,1418.60465116,30000,Daily,61,43,43,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Threads,"Threads feed",In-app,not_delivering,3,reach,1333.33333333,30000,Daily,4,3,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook profile feed",In-app,inactive,7,reach,1000,50000,Daily,7,7,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Reels",In-app,inactive,81100,reach,2189.82737361,50000,Daily,177595,131700,81100,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00051788,43,1,0.000759,1.623921,0,43,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Ads on Facebook Reels",In-app,inactive,4647,reach,1068.86163116,50000,Daily,4967,4647,4647,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Stories",In-app,inactive,4063,reach,1329.06719173,50000,Daily,5400,4438,4063,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.092296,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Feed,Desktop,inactive,128,reach,1445.3125,50000,Daily,185,134,128,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.046875,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Feed,In-app,inactive,28209,reach,1476.12464107,50000,Daily,41640,30211,28209,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00031905,53,1,0.00331,1.07097,0,53,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Feed,"Mobile web",inactive,313,reach,1479.23322684,50000,Daily,463,361,313,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.153355,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"In-stream reels",In-app,inactive,1886,reach,1639.4485684,50000,Daily,3092,2306,1886,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.222694,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,Desktop,inactive,54,reach,2685.18518519,50000,Daily,145,109,54,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,2.018519,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,In-app,inactive,5618,reach,2250.26699893,50000,Daily,12642,9377,5618,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,3,3,0.031993,1.669099,0,3,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Search results",In-app,inactive,1,reach,1000,50000,Daily,1,1,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,Feed,In-app,inactive,5234,reach,1457.96713794,50000,Daily,7631,5641,5234,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00076423,5,,,1.077761,0,5,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Explore home",In-app,inactive,7,reach,857.14285714,50000,Daily,6,7,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Instagram Reels",In-app,inactive,58591,reach,1600.75779557,50000,Daily,93790,68758,58591,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00037548,26,,,1.173525,0,26,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Instagram Stories",In-app,inactive,943,reach,1487.80487805,50000,Daily,1403,1014,943,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.075292,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Threads,"Threads feed",In-app,inactive,44,reach,1136.36363636,50000,Daily,50,45,44,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.022727,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"Facebook Reels",In-app,inactive,4101,reach,1548.89051451,50000,Daily,6352,4440,4101,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00024384,1,,,1.082663,0,1,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"Ads on Facebook Reels",In-app,inactive,70,reach,1128.57142857,50000,Daily,79,70,70,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"Facebook Stories",In-app,inactive,118,reach,1313.55932203,50000,Daily,155,119,118,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.008475,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,Feed,Desktop,inactive,23,reach,1565.2173913,50000,Daily,36,23,23,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,Feed,In-app,inactive,2138,reach,1521.98316183,50000,Daily,3254,2211,2138,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,4,,,1.034144,0,4,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,Feed,"Mobile web",inactive,22,reach,1454.54545455,50000,Daily,32,22,22,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"In-stream reels",In-app,inactive,40,reach,1250,50000,Daily,50,41,40,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.025,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,Marketplace,Desktop,inactive,10,reach,1800,50000,Daily,18,12,10,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.2,0,,,
