Date;Profile;Message;Number of Likes;Number of comments;Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression/view;Post comments negative sentiment share;Profile-ID;Post-ID;Link;Image Link;
26/06/2026, 16:05;"dunloptyresid";"DAY 7 BLUE RESPONSE FAIR 📍Tribert Keseruan masih berlanjut! Hari ini tim DUNLOP hadir di Tribert Singaraja dengan FREE Tyre Check, konsultasi ban gratis, dan promo spesial Blue Response TG. Jangan lewatkan kesempatan untuk merasakan langsung performa DUNLOP Blue Response TG Smart Choice, Smart Premium. #DunlopTyreIndonesia #BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #FreeTyreCheck ";5.0;0.0;5.0;3.8965087281795513E-4;153.0;0.024875621890547265;0.0;7202537760892634139;7655627811687845138;https://www.tiktok.com/@dunloptyresid/video/7655627811687845138;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oQRNQQBqBgUQdpRWlEhPfG6AetxDPFyCkUZQ5E~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=cf3a93d1&x-expires=1782867600&x-signature=smRpZwTmwH%2Bh0WG7hq11W%2FMSwq0%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
26/06/2026, 08:23;"dunloptyresid";"BALI! 🌴💙 Day 6 and the energy is still soaring! The Blue Response Fair is rolling strong across Bali. Haven’t stopped by yet? Today is the perfect time to get a FREE tyre check and experience the precision of the all-new DUNLOP Blue Response TG. 📍 Join us for exclusive fair-only deals, fun activities, and expert advice to keep your journey smooth and safe. Don’t miss your chance to upgrade your ride before we wrap up. See you on the road! 🚗💨 #DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove  ";11.0;0.0;11.0;8.572319201995012E-4;292.0;0.03343465045592705;0.0;7202537760892634139;7655508663305506066;https://www.tiktok.com/@dunloptyresid/video/7655508663305506066;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ogDe9KfPDEzdqFdEEbqBAbcHEPIB1I5gRO0vBl~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=050d3182&x-expires=1782867600&x-signature=lwRgQLRQbIlNjdrVk1LDyxzZqec%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
25/06/2026, 13:43;"dunloptyresid";"DAY 6 | BLUE RESPONSE FAIR 📍INDO Raya Keseruan masih berlanjut! Hari ini tim DUNLOP hadir di Oscar Variasi dengan FREE Tyre Check, konsultasi ban gratis, dan promo spesial Blue Response TG. Jangan lewatkan kesempatan untuk merasakan langsung performa DUNLOP Blue Response TG Smart Choice, Smart Premium. #DunlopTyreIndonesia #BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #FreeTyreCheck ";9.0;0.0;9.0;7.145692735212386E-4;232.0;0.03643724696356275;0.0;7202537760892634139;7655220039955533063;https://www.tiktok.com/@dunloptyresid/video/7655220039955533063;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oYsvIQjf5GAhzf5qDZL1GGoDQRsACF4eIte98I~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=6c91e87f&x-expires=1782867600&x-signature=JYau0TuVkM%2BqnOVizd9qff%2FO5fg%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
25/06/2026, 11:20;"dunloptyresid";"DAY 6 | BLUE RESPONSE FAIR 📍Oscar Variasi  Keseruan masih berlanjut! Hari ini tim DUNLOP hadir di Oscar Variasi dengan FREE Tyre Check, konsultasi ban gratis, dan promo spesial Blue Response TG. Jangan lewatkan kesempatan untuk merasakan langsung performa DUNLOP Blue Response TG Smart Choice, Smart Premium. #DunlopTyreIndonesia #BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #FreeTyreCheck ";6.0;0.0;11.0;8.733624454148472E-4;494.0;0.02029520295202952;0.0;7202537760892634139;7655183099407387922;https://www.tiktok.com/@dunloptyresid/video/7655183099407387922;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ooxvaJII4IyIVsijGAEih5WJ8g0DZAwFBBYrJ~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=d477b2d2&x-expires=1782867600&x-signature=SefCY3MqGPMKjYppWsJt8Xwkr7Y%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
25/06/2026, 08:47;"dunloptyresid";"DAY 6 | Blue Response Fair Bali Semangat masih terus berlanjut! Terima kasih untuk seluruh Drivemate yang sudah mampir untuk cek ban GRATIS, ikut berbagai aktivitas seru, dan merasakan langsung performa DUNLOP Blue Response TG. 📍 Masih ada kesempatan sampai besok! Jangan sampai ketinggalan ya! #DunlopIndonesia #BlueResponseTG #BlueResponseFair #SmartChoiceSmartPremium #TakingYouBeyond";10.0;0.0;11.0;8.733624454148472E-4;778.0;0.012971698113207548;0.0;7202537760892634139;7655143634332912904;https://www.tiktok.com/@dunloptyresid/video/7655143634332912904;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oA8ikDcDqBi08NgFEabICAIjEBf8fPIgbRIKAK~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=fe6d0e27&x-expires=1782867600&x-signature=xGXMJ4NtNVJk0bHd5p%2FP5gcxrQo%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&sc=cover&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER;
24/06/2026, 16:02;"dunloptyresid";"-";6.0;0.0;6.0;4.78049557804159E-4;263.0;0.02040816326530612;0.0;7202537760892634139;7654884758857518344;https://www.tiktok.com/@dunloptyresid/video/7654884758857518344;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oEKYuIABPUnAon9SAah4GEQXgD7diijtIFBS8~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=674e5b02&x-expires=1782867600&x-signature=sAnqWUA4%2BUGz16C26qN5IAl4RUs%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
24/06/2026, 09:48;"dunloptyresid";"Day 5 of the DUNLOP Blue Response Fair Bali is officially rolling! 🔥 Antusiasme terus bertambah, semakin banyak pengendara yang memanfaatkan FREE Tyre Check, mencoba pengalaman langsung dengan DUNLOP Blue Response TG, dan menikmati berbagai aktivitas seru di lokasi. Masih ada kesempatan untuk bergabung hingga 26 Juni 2026. Datang ke DUNLOP Shop terdekat di Bali, cek kondisi ban kendaraanmu, nikmati promo spesial, dan rasakan sendiri performa Smart Choice, Smart Premium. 📍 Bali 🗓️ 20–26 Juni 2026 See you at the DUNLOP Blue Response Fair!  #DUNLOP #BanDUNLOP #BlueResponseFair #BlueResponseTG #BRFairOnTheMove  ";115.0;2.0;125.0;0.009959365787586646;47123.0;0.0024908833668772293;0.0;7202537760892634139;7654788368655453447;https://www.tiktok.com/@dunloptyresid/video/7654788368655453447;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/owRjK6EIIiXKASJAaR1C7BYAHILWq6QfwA6iwI~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=670d44d7&x-expires=1782867600&x-signature=tn0EKraWGgN7QXSFGja6IJfHxIQ%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
24/06/2026, 09:07;"dunloptyresid";"BALI! 🌴💙 Blue Response Fair Day 4 is officially LIVE! We are keeping the momentum high and the roads safer than ever. Whether you're heading to work, exploring the island, or just cruising through, make sure your ride is equipped with the best. Drop by for a quick check-up and see why the all-new DUNLOP Blue Response TG is the ultimate choice for your journey. We’re still out and about across Bali! Come say hi, get your tyres inspected for FREE, and grab some exclusive deals before we roll out. The road to better performance starts here. Don't wait—see you there! 🚗💨 #DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove  ";7.0;0.0;8.0;6.373994104055454E-4;243.0;0.02909090909090909;0.0;7202537760892634139;7654777794899053842;https://www.tiktok.com/@dunloptyresid/video/7654777794899053842;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o8yJOQEn2coAmJUdPrIMFL7RGGeGmAewVQeBxf~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=78ba8a83&x-expires=1782867600&x-signature=1Sx9D3SdkicVDI%2FGMgYyyKnFJ0A%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
23/06/2026, 14:19;"dunloptyresid";"BALI! 🌴💙 Blue Response Fair Day 4 is officially LIVE! We are keeping the momentum high and the roads safer than ever. Whether you're heading to work, exploring the island, or just cruising through, make sure your ride is equipped with the best. Drop by for a quick check-up and see why the all-new DUNLOP Blue Response TG is the ultimate choice for your journey. We’re still out and about across Bali! Come say hi, get your tyres inspected for FREE, and grab some exclusive deals before we roll out. The road to better performance starts here. Don't wait—see you there! 🚗💨 #DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove   ! ";28.0;0.0;29.0;0.002364066193853428;13452.0;0.002106333527019175;0.0;7202537760892634139;7654487220795100423;https://www.tiktok.com/@dunloptyresid/video/7654487220795100423;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o0jq2VNU7A4uERfBgQF4OZcD5fqWxzjEBEBB0Q~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=e842d492&x-expires=1782867600&x-signature=%2Bu9zAhznpLVovVg99p5unXn1hKs%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover;
23/06/2026, 11:36;"dunloptyresid";"BALI! 🌴💙 Blue Response Fair Day 4 is officially LIVE! We are keeping the momentum high and the roads safer than ever. Whether you're heading to work, exploring the island, or just cruising through, make sure your ride is equipped with the best. Drop by for a quick check-up and see why the all-new DUNLOP Blue Response TG is the ultimate choice for your journey. We’re still out and about across Bali! Come say hi, get your tyres inspected for FREE, and grab some exclusive deals before we roll out. The road to better performance starts here. Don't wait—see you there! 🚗💨 #DUNLOP #BlueResponseFair #BlueResponseTG #SmartChoiceSmartPremium #BRFairOnTheMove  ";8.0;0.0;8.0;6.521561914078421E-4;278.0;0.025559105431309903;0.0;7202537760892634139;7654445075019205906;https://www.tiktok.com/@dunloptyresid/video/7654445075019205906;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ogBV6MAE1UNo2MsI7Diisb6acMIxvCjAxBYID~tplv-tiktokx-cropcenter-q:300:400:q70.webp?dr=14782&refresh_token=8de4adb5&x-expires=1782867600&x-signature=dakMrHZplPeYiE2bABXtAB5Y6Rs%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my&sc=cover&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER;
